Institution Name	Institution Symbol	Institution State	Library Type	Requests To Lender	Requests To Lender From WorldCat	Requests Canceled	Requests Filled	Requests Filled (Loan)	Requests Filled (Copy)	Requests Unfilled	Direct Request: Unmediated	Direct Request: Mediated	Average Turnaround Time For Filled Requests (dd:hh:mm)	Average Turnaround Time For Loan Filled Requests (dd:hh:mm)	Average Turnaround Time For Copy Filled Requests (dd:hh:mm)
VERMONT STATE LIBR	VSL	VT	State Library	1	1	0	0	0	0	1	0	0	0:00:00	0:00:00	0:00:00
VERNON AREA PUB LIBR DIST	IV@	IL	Public	1	1	0	1	1	0	0	0	0	5:00:00	5:00:00	0:00:00
VILLANOVA UNIV	PVU	PA	Academic	1	1	0	0	0	0	1	0	0	0:00:00	0:00:00	0:00:00
VINCENNES UNIV	IVV	IN	Academic	1	1	0	1	1	0	0	0	0	1:00:00	1:00:00	0:00:00
VIRGINIA TECH	VPI	VA	Academic	4	4	0	1	1	0	4	0	0	1:00:00	1:00:00	0:00:00
WALLA WALLA CNTY RURAL LIBR DIST	XVJ	WA	Public	4	4	0	3	3	0	1	0	0	2:07:55	2:07:55	0:00:00
WALLA WALLA COMMUN COL LIBR	XVG	WA	Academic	2	2	0	1	1	0	1	0	0	3:00:00	3:00:00	0:00:00
WALLA WALLA UNIV	OXG	WA	Academic	3	3	0	1	1	0	1	0	0	0:00:00	0:00:00	0:00:00
WARNER PACIFIC UNIV	OWP	OR	Academic	3	3	0	3	3	0	0	0	0	0:07:55	0:07:55	0:00:00
WARSAW COMMUN PUB LIBR	XWA	IN	Public	3	3	0	3	3	0	0	0	0	1:16:05	1:16:05	0:00:00
WARTBURG COL	IOW	IA	Academic	1	1	0	1	1	0	0	0	0	0:00:00	0:00:00	0:00:00
WASHINGTON CNTY COOP LIBR	OQX	OR	Public	42	42	0	3	3	0	39	0	0	3:16:05	3:16:05	0:00:00
WASHINGTON CORR CTR FOR WOMEN LIBR	Z83	WA	State or Municipal Governments	1	1	0	0	0	0	1	0	0	0:00:00	0:00:00	0:00:00
WASHINGTON STATE LIBR	WRJ	WA	State Library	3	3	0	3	3	0	0	0	0	0:00:00	0:00:00	0:00:00
WASHINGTON STATE UNIV LIBR	WS7	WA	Academic	3	3	0	0	0	0	3	0	0	0:00:00	0:00:00	0:00:00
"WASHINGTON STATE UNIV, TRI-CITIES"	EI1	WA	Academic	2	2	0	0	0	0	2	0	0	0:00:00	0:00:00	0:00:00
"WASHINGTON STATE UNIV, VANCOUVER"	WS2	WA	Academic	1	1	0	0	0	0	1	0	0	0:00:00	0:00:00	0:00:00
WASHOE CNTY LIBR SYST	NUW	NV	Public	9	9	0	2	2	0	7	0	0	2:00:00	2:00:00	0:00:00
WATERTOWN REG LIBR	ZWA	SD	Public	1	1	0	0	0	0	0	0	0	0:00:00	0:00:00	0:00:00
WAUKESHA CNTY TECH COLL LIBR	WCT	WI	"Junior, Community, Technical Colleges"	1	1	0	1	1	0	0	0	0	0:00:00	0:00:00	0:00:00
WEBER CNTY LIBR	UTW	UT	Public	1	1	0	0	0	0	1	0	0	0:00:00	0:00:00	0:00:00
WEBER STATE UNIV	UUO	UT	Academic	2	2	0	2	2	0	0	0	0	0:00:00	0:00:00	0:00:00
WEDSWORTH MEM LIBR	YRX	MT	Public	1	1	0	0	0	0	1	0	0	0:00:00	0:00:00	0:00:00
WESTCHESTER LIBR SYST	VVW	NY	Public	4	4	0	3	3	0	3	0	0	6:07:55	6:07:55	0:00:00
WESTERN COLORADO UNIV	COW	CO	Academic	1	1	0	0	0	0	1	0	0	0:00:00	0:00:00	0:00:00
WESTERN MICHIGAN UNIV	EXW	MI	Academic	1	1	0	0	0	0	1	0	0	0:00:00	0:00:00	0:00:00
WESTERN OREGON UNIV LIBR	WOS	OR	Academic	2	2	0	2	2	0	0	0	0	0:00:00	0:00:00	0:00:00
WESTERN SEMINARY	WBS	OR	Theological	2	2	0	1	1	0	1	0	0	0:00:00	0:00:00	0:00:00
WESTERN WASHINGTON UNIV	XFF	WA	Academic	9	9	2	6	6	0	2	0	0	0:19:55	0:19:55	0:00:00
WHATCOM CNTY LIBR SYST	WC4	WA	Public	31	31	1	19	19	0	11	0	0	0:15:07	0:15:07	0:00:00
WHEATON COL	WHE	MA	Academic	1	1	0	0	0	0	1	0	0	0:00:00	0:00:00	0:00:00
WHEATON COL	ICW	IL	Academic	4	4	0	0	0	0	4	0	0	0:00:00	0:00:00	0:00:00
WHEATON PUB LIBR	JAD	IL	Public	1	1	0	0	0	0	1	0	0	0:00:00	0:00:00	0:00:00
WHITE MOUNTAIN LIBR	W8W	WY	Public	2	2	0	1	1	0	1	0	0	4:00:00	4:00:00	0:00:00
WHITMAN CNTY RURAL LIBR DIST	XQU	WA	Public	4	4	0	0	0	0	4	0	0	0:00:00	0:00:00	0:00:00
"WHITMAN COL, PENROSE MEM LIBR"	HTM	WA	Academic	10	10	0	6	5	1	4	0	0	0:12:00	0:14:24	0:00:00
WHITWORTH UNIV	WTV	WA	Academic	6	6	0	5	5	0	1	0	0	1:00:00	1:00:00	0:00:00
WICHITA STATE UNIV	KSW	KS	Academic	2	2	0	1	1	0	1	0	0	0:00:00	0:00:00	0:00:00
WILLAMETTE UNIV LIBR	OWS	OR	Academic	6	6	0	5	5	0	1	0	0	0:00:00	0:00:00	0:00:00
WILLIAM K KOHRS MEM LIBR	YZU	MT	Public	1	1	0	0	0	0	1	0	0	0:00:00	0:00:00	0:00:00
WILLIAMSBURG REG LIBR	VAK	VA	Public	1	1	0	0	0	0	1	0	0	0:00:00	0:00:00	0:00:00
WILLIAMSVILLE PUB LIBR	ODO	IL	Public	1	1	0	0	0	0	1	0	0	0:00:00	0:00:00	0:00:00
WILMETTE PUB LIBR DIST	GP5	IL	Public	1	1	0	0	0	0	1	0	0	0:00:00	0:00:00	0:00:00
WINDWARD COMMUN COL LIBR	HCW	HI	Academic	2	2	0	0	0	0	2	0	0	0:00:00	0:00:00	0:00:00
WINNEFOX LIBR SYST	GZK	WI	Public	2	2	0	0	0	0	2	0	0	0:00:00	0:00:00	0:00:00
WITTENBERG UNIV	WIT	OH	Academic	2	2	0	1	1	0	1	0	0	5:00:00	5:00:00	0:00:00
YAKIMA VAL LIBRS	YVR	WA	Public	27	27	0	4	4	0	22	0	0	0:06:00	0:06:00	0:00:00
YAVAPAI COL LIBR	YVP	AZ	Academic	3	3	0	0	0	0	3	0	0	0:00:00	0:00:00	0:00:00
YUMA CNTY LIBR DIST	YCC	AZ	Public	1	1	0	0	0	0	1	0	0	0:00:00	0:00:00	0:00:00
